unnamed_0,dbn,district,school_name,school,principal,progress_report_type,school_type,peerindex,overallgrade,overallscore2012,overallpercentile2012,progressscore2012,progressgrade2012,performancescore2012,performancegrade2012,environmentscore2012,environmentgrade2012,additionalcredit2012,201011_progress_report_grade,200910_progress_report_grade,parentresponserate,teacherresponserate,studentresponserate,safetyscore,communicationscore,engagementscore,expectationsscore
432,11X021,11,P.S. 021 Philip H. Sheridan,P.S. 021 Philip H. Sheridan,Joyce Coleman,EMS,Elementary School,59.27,C,42.9,21.8,24.9,C,8.2,D,6.9,C,2.9,C,C,0.66,0.82,,7.7,7.5,7.7,7.9
433,11X041,11,P.S. 041 Gun Hill Road,P.S. 041 Gun Hill Road,Erika Tobia,EMS,Elementary School,62.02,C,37.7,12.5,13.3,F,11.9,C,9.5,B,3,A,A,0.86,0.94,,8.1,8.1,8.1,8.3
434,11X068,11,P.S. 068 Bronx,P.S. 068 Bronx,Catherine Helfrich,EMS,Elementary School,56.04,C,42.9,21.8,23.4,C,10.8,C,6.2,C,2.5,B,B,0.65,0.99,,7.3,7.1,7.4,7.6
435,11X076,11,P.S. 076 The Bennington School,P.S. 076 The Bennington School,Louise Sedotto,EMS,Elementary School,53.61,C,45.4,26.2,24.1,C,12.1,C,6.6,C,2.5,B,A,0.57,0.76,,8,6.9,7.2,7.6
436,11X078,11,P.S. 078 Anne Hutchinson,P.S. 078 Anne Hutchinson,Claudina Skerritt,EMS,Elementary School,59.43,C,40.3,16.7,22.9,C,7,D,7.8,B,2.6,B,C,0.64,0.86,,8,7.8,8.1,8.4
437,11X083,11,P.S. 083 Donald Hertz,P.S. 083 Donald Hertz,Claudia Macek,EMS,Elementary/Middle School,39.28,B,57.8,61.9,30.1,C,16,A,8.9,B,2.8,B,C,0.62,1,0.95,7.8,7.5,7.7,8.2
438,11X087,11,P.S. 087 Bronx,P.S. 087 Bronx,Donna Anaman,EMS,Elementary School,52.91,C,41.3,18.4,25.5,C,7.2,D,6.4,C,2.2,C,C,0.6,0.81,,7.6,7,7.3,7.4
439,11X089,11,P.S. 089 Bronx,P.S. 089 Bronx,Ralph Martinez,EMS,Elementary/Middle School,50.32,C,41.8,16.9,22.1,D,8.8,D,7.4,C,3.5,C,C,0.35,0.85,0.85,7.5,7.5,7.8,8.1
440,11X096,11,P.S. 096 Richard Rodgers,P.S. 096 Richard Rodgers,Marta Garcia,EMS,Elementary School,52.01,B,55.9,55.6,29.2,C,16.5,A,8,B,2.2,B,B,0.77,1,,8.3,7.9,8,8.2
441,11X097,11,P.S. 097 Bronx,P.S. 097 Bronx,Katheleen Bornkamp,EMS,Elementary School,44.28,B,59.8,63.8,36.2,B,14.6,B,6.3,C,2.7,A,B,0.44,0.46,,8,7.2,7.4,7.6
442,11X103,11,P.S. 103 Hector Fontanez,P.S. 103 Hector Fontanez,Farid Reyes,EMS,Elementary School,57.86,C,42.1,20,23.8,C,9.2,C,6.6,C,2.5,B,B,0.48,0.88,,7.7,7.6,7.7,7.9
443,11X105,11,P.S. 105 Sen Abraham Bernstein,P.S. 105 Sen Abraham Bernstein,Mr. Christopher Eustace,EMS,Elementary School,54.13,B,57.9,60,34.6,B,13,B,6.3,C,4,C,B,0.47,0.4,,8,6.7,7.1,7.2
444,11X106,11,P.S. 106 Parkchester,P.S. 106 Parkchester,Eugenia Montalvo,EMS,Elementary School,43.88,B,57.3,58.5,30.6,B,16.1,A,8.9,B,1.7,B,B,0.82,0.97,,8.3,8,8,8.3
445,11X108,11,P.S. 108 Philip J. Abinanti,P.S. 108 Philip J. Abinanti,Charles Sperrazza,EMS,Elementary School,34.63,C,47.8,34.6,23.2,C,16.4,A,6.4,C,1.8,C,C,0.75,0.79,,8.3,6.8,7.3,7.7
446,11X111,11,P.S. 111 Seton Falls,P.S. 111 Seton Falls,Ava Fullenweider,EMS,Elementary School,63.01,D,33.5,6.9,22.1,C,3.4,F,4.1,D,3.9,C,C,0.28,0.71,,7.6,6.9,7.3,7.4
447,11X112,11,P.S. 112 Bronxwood,P.S. 112 Bronxwood,Susan Barnes,EMS,Elementary School,63.32,C,46.2,29.7,31.8,B,4.8,F,6.2,C,3.3,D,A,0.54,1,,8,7.6,7.8,7.9
448,11X121,11,P.S. 121 Throop,P.S. 121 Throop,Rachel Donnelly,EMS,Elementary School,49.27,C,48.6,36.6,24.3,C,13.2,B,9,B,2.1,C,B,0.9,1,,8.6,8.3,8.3,8.5
449,11X127,11,J.H.S. 127 The Castle Hill,J.H.S. 127 The Castle Hill,Harry Sherman,EMS,Middle School,2.68,B,55,49.5,31.6,B,13.9,B,6.8,C,2.7,C,B,0.29,0.62,0.86,6.9,6.8,7.1,7.4
450,11X142,11,Ms 142 John Philip Sousa,MS 142 John Philip Sousa,Casimiro Cibelli,EMS,Middle School,2.29,C,37.3,10.8,21.9,C,8.9,D,3.6,D,2.9,C,C,0.34,1,0.94,6,5.9,6.3,6.7
451,11X144,11,J.H.S. 144 Michelangelo,J.H.S. 144 Michelangelo,Jeremy Kabinoff,EMS,Middle School,2.37,D,25.7,3.9,7.3,F,8.5,D,7.5,C,2.4,C,C,0.32,0.86,0.95,7.1,7.4,7.6,8
452,11X153,11,P.S. 153 Helen Keller,P.S. 153 Helen Keller,Veronica Goka,EMS,Elementary School,44.02,A,71.9,88.7,40.1,A,20.1,A,8.9,B,2.8,A,B,0.57,1,,8.5,7.8,7.8,8.2
453,11X160,11,P.S. 160 Walt Disney,P.S. 160 Walt Disney,Lori Baker,EMS,Elementary School,54.69,C,46.8,32.3,25.3,C,12,C,6.5,C,3,C,C,0.5,1,,7.8,7.3,7.3,7.4
454,11X175,11,P.S. 175 City Island,P.S. 175 City Island,Amy Lipson,EMS,Elementary/Middle School,19.07,C,42.6,21.3,19,D,14.5,B,6.9,C,2.2,C,C,0.61,1,1,7.7,6.9,7.2,8
455,11X178,11,P.S. 178 - Dr. Selman Waksman,P.S. 178 - Dr. Selman Waksman,Deborah Levine,EMS,Elementary School,51.59,C,45.6,27.5,23.6,C,11.9,C,6.6,C,3.5,B,C,0.61,1,,7.8,6.9,6.9,7.2
456,11X180,11,M.S. 180 Dr. Daniel Hale Williams,M.S. 180 Dr. Daniel Hale Williams,Frank Uzzo,EMS,Middle School,2.83,C,50.1,35.6,23.7,C,15.5,B,9.4,B,1.5,C,B,0.68,0.53,0.97,7.8,7.1,7.6,8
457,11X181,11,I.S. 181 Pablo Casals,I.S. 181 Pablo Casals,Christopher Warnock,EMS,Middle School,2.74,C,37.4,11.1,9.5,F,16.7,A,8.9,B,2.3,B,B,0.58,0.66,0.9,7.4,7,7.4,7.9
458,11X189,11,Cornerstone Academy For Social Action,Cornerstone Academy for Social Action,James Bellon,EMS,Elementary School,57.97,D,35.5,9.7,21.2,D,5.8,F,6.6,C,1.9,C,F,0.51,0.69,,7.5,7.6,7.6,7.8
459,11X194,11,Ps/Ms 194,PS/MS 194,Rosa Sifuentes-Rosado,EMS,Elementary/Middle School,46.39,A,64.5,76.3,39.7,A,14,B,7.1,C,3.6,C,B,0.72,0.98,0.97,7.5,6.9,7.2,7.7
460,11X270,11,Academy For Scholarship And Entrepreneurship: A Co,Academy for Scholarship and Entrepreneurship: A,Zenobia White,EMS,Middle/High School,2.44,,.,.,.,,.,,.,,.,D,C,0.33,0.76,0.8,6.5,6,6.1,6.6
461,11X270,11,Academy For Scholarship And Entrepreneurship: A Co,Academy for Scholarship and Entrepreneurship: A College Board School,Zenobia White,HS,Middle/High School,1.77,B,59.9,36.4,32.7,B,12.5,B,6.1,D,3.9,D,C,0.33,0.76,0.8,6.5,6,6.1,6.6
462,11X272,11,Globe School For Environmental Research,Globe School for Environmental Research,Matthew Angell,EMS,Middle School,2.33,C,39.7,14.9,21.2,D,10.3,C,5.5,C,2.7,C,D,0.4,0.92,0.94,6.6,6.7,7,7.5
463,11X287,11,The Forward School,The Forward School,Adrienne Phifer,EMS,Middle School,2.05,A,73.1,85.6,44.3,A,19.5,A,4.9,D,4.4,B,B,0.72,0.73,0.97,6.5,6.6,6.7,7.3
464,11X289,11,The Young Scholars Academy Of The Bronx,The Young Scholars Academy of The Bronx,Jeanette Vargas,EMS,Middle School,2.3,B,60.2,61.1,36.9,B,15.1,B,5.5,C,2.7,C,C,0.61,0.96,0.82,6.2,6.5,6.8,7.3
465,11X322,11,Aspire Preparatory Middle School,Aspire Preparatory Middle School,Steven Cobb,EMS,Middle School,2.5,,.,.,.,,.,,.,,.,F,C,0.61,0.86,0.96,6.8,6.2,6.3,6.7
466,11X326,11,Bronx Green Middle School,Bronx Green Middle School,Charles Johnson,EMS,Middle School,2.45,B,59.4,59.9,34.1,B,13.9,B,7.6,C,3.8,B,C,0.59,0.97,0.92,7.4,7.2,7.5,7.7
467,11X370,11,School Of Diplomacy,School of Diplomacy,John Scalice,EMS,Middle School,2.37,C,47.6,29.8,32,B,8.6,D,4.1,D,2.9,F,C,0.03,0.94,0.64,6.4,6.5,6.9,7.2
468,11X462,11,Cornerstone Academy For Social Action Middle Schoo,CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCH,Jamaal Bowman,EMS,Middle School,2.36,A,70.5,83.2,38.8,B,17.7,A,10.4,A,3.5,B,.,0.84,0.63,0.83,7.6,7.5,7.9,8.3
469,11X468,11,Pelham Academy Of Academics And Community Engageme,PELHAM ACADEMY OF ACADEMICS AND COMMUNITY ENGAGE,Anthony Rivera,EMS,Middle School,2.58,A,66.9,77.1,40.2,A,15.5,B,8.3,B,2.8,B,.,0.55,1,0.97,8,7,7.5,8
470,11X498,11,Ps/Ms 11X498 - Van Nest Academy,PS/MS 11X498 - VAN NEST ACADEMY,Carol Gilligan,EMS,Elementary/Middle School,2.68,B,64.2,71.8,33.2,B,15.9,B,12.6,A,2.5,.,.,0.88,1,0.99,8.5,7.9,8.4,8.5
471,11X529,11,One World Middle School At Edenwald,One World Middle School at Edenwald,Patricia Wynne,EMS,Middle School,2.55,,.,.,.,,.,,.,,.,.,.,0.72,1,0.94,8.2,7.6,8.1,8.4
472,11X532,11,Baychester Middle School,Baychester Middle School,Shawn Mangar,EMS,Middle School,2.16,,.,.,.,,.,,.,,.,.,.,0.63,0.89,0.93,7.6,7.2,7.4,7.8
473,12X006,12,P.S. 006 West Farms,P.S. 006 West Farms,Juliet Young,EMS,Elementary School,66.37,C,39.4,15.4,25.7,C,5.6,F,5.1,D,3,C,C,0.53,0.93,,7.6,7.5,7.6,7.7
474,12X044,12,P.S. 044 David C. Farragut,P.S. 044 David C. Farragut,Melissa Harrow,EMS,Elementary School,68.54,D,26.3,3,13.3,F,10.2,C,1.2,F,1.6,C,B,0.56,0.93,,6.2,5.8,6,6.1
475,12X047,12,P.S. 047 John Randolph,P.S. 047 John Randolph,Thomas Guarnieri,EMS,Elementary School,58.13,D,33.3,6.4,11.1,F,9.8,C,10.4,A,2,B,C,0.8,0.91,,8.5,8.4,8.4,8.7
476,12X050,12,P.S. 050 Clara Barton,P.S. 050 Clara Barton,Lori Ferguson,EMS,Elementary School,64.48,F,25.4,1.6,18.1,D,2.5,F,1.7,F,3.1,C,D,0.8,0.79,,6.6,6,6.3,6.3
