unnamed_0,dbn,district,school_name,school,principal,progress_report_type,school_type,peerindex,overallgrade,overallscore2012,overallpercentile2012,progressscore2012,progressgrade2012,performancescore2012,performancegrade2012,environmentscore2012,environmentgrade2012,additionalcredit2012,201011_progress_report_grade,200910_progress_report_grade,parentresponserate,teacherresponserate,studentresponserate,safetyscore,communicationscore,engagementscore,expectationsscore
0,03M185,3,P.S. 185 - The Early Childhood Discovery And Desig,P.S. 185 John M. Langston,Jane Murphy,EC,Early Childhood School,61.11,B,41.5,,14.2,C,14.6,B,9.7,B,3,C,C,0.9,1,,8.7,8,8.3,8.4
1,04M112,4,P.S. 112 Jose Celso Barbosa,P.S. 112 Jose Celso Barbosa,Eileen Reiter,EC,Early Childhood School,63.85,B,42.6,,16.5,C,11.1,C,8.8,B,6.2,A,B,0.98,1,,8.2,8.1,8.1,8.4
2,06M178,6,Professor Juan Bosch Public School,Professor Juan Bosch Public School,Deirdre Budd,EC,Early Childhood School,54.84,C,38.5,,13.8,C,7.1,F,11.2,B,6.3,B,B,1,1,,9,8.5,8.6,8.7
3,09X088,9,P.S. X088 - S. Silverstein Little Sparrow School,P.S. X088 - S. Silverstein Little Sparrow School,Melinda Hyer,EC,Early Childhood School,67.3,B,47.1,,17,B,16.1,B,10.1,B,3.9,B,B,0.35,0.36,,8.5,7.4,7.6,8
4,09X170,9,P.S. 170,P.S. 170,Nancy Ramos,EC,Early Childhood School,59.63,B,41.5,,12.1,C,13.5,C,12.9,A,3,B,B,0.8,0.86,,9.5,8.7,9,9.2
5,09X236,9,P.S. 236 Langston Hughes,P.S. 236 Langston Hughes,Beverly Ellis,EC,Early Childhood School,67.98,C,36.3,,12.8,C,9.7,C,8.9,B,4.8,C,B,0.83,0.94,,8.3,8.2,8.1,8.2
6,09X449,9,Grant Avenue Elementary School,GRANT AVENUE ELEMENTARY SCHOOL,Kristin Erat,EC,Early Childhood School,65.17,B,48.5,,16.4,C,16.5,B,12.7,A,2.9,.,.,0.86,0.88,,9.3,8.9,9.2,9.2
7,10X023,10,P.S. 023 The New Children'S School,P.S. 023 The New Children's School,Shirley Torres,EC,Early Childhood School,73.2,C,38.5,,15.7,C,7.7,F,9.2,B,5.8,B,C,0.57,0.98,,7.9,7.6,7.8,8.2
8,10X207,10,P.S. 207,P.S. 207,Maria Rosado,EC,Early Childhood School,63.02,B,41.2,,15.8,C,13.2,C,7.9,C,4.2,C,C,0.71,0.83,,8.7,7.8,7.8,8.1
9,10X209,10,P.S. 209,P.S. 209,Anne Keegan,EC,Early Childhood School,67.47,A,60.8,,22,B,20.3,A,14.4,A,4.1,B,A,0.93,1,,9.5,8.8,9.1,9.4
10,11X169,11,Baychester Academy,BAYCHESTER ACADEMY,Cristine Vaughan,EC,Early Childhood School,54.07,C,29.3,,7.6,F,10,C,10.4,B,1.3,.,.,0.8,1,,8.8,8.1,8.1,8.4
11,17K249,17,P.S. 249 The Caton,P.S. 249 The Caton,Ms. Elisa Brown,EC,Early Childhood School,57.87,A,67,,25.5,A,23.3,A,12.9,A,5.3,A,A,1,0.96,,9.2,8.9,9.1,9.2
12,20K682,20,The Academy Of Talented Scholars,THE ACADEMY OF TALENTED SCHOLARS,Josephin Sportella-Giust,EC,Early Childhood School,18.77,D,23.2,,7,F,7,F,7.8,C,1.4,.,.,0.92,1,,8.5,7.5,8.1,8.1
13,20K686,20,Brooklyn School Of Inquiry,BROOKLYN SCHOOL OF INQUIRY,Donna Taylor,EC,Early Childhood School,8.62,A,61,,24.4,A,22.6,A,12.4,A,1.5,.,.,0.95,1,,9.4,8.8,9.1,9
14,22K361,22,P.S. 361 East Flatbush Early Childhood School,P.S. 361 East Flatbush Early Childhood School,Dianne S. Martin,EC,Early Childhood School,58.44,D,22.5,,6.8,F,5.9,F,7.4,C,2.3,C,C,0.42,0.81,,8,7,7.5,7.7
15,24Q007,24,P.S. 007 Louis F. Simeone,P.S. 007 Louis F. Simeone,Sara Tucci,EC,Early Childhood School,35.55,B,43.4,,16.3,C,16.6,B,6.4,C,4.1,B,B,0.55,0.73,,7.9,6.5,6.5,6.8
16,24Q028,24,P.S. 28 - The Thomas Emanuel Early Childhood Cente,P.S. 28 - The Thomas Emanuel Early Childhood Cen,Laura Pessutti,EC,Early Childhood School,59.84,B,50.6,,18,B,12.3,C,13.1,A,7.2,B,A,0.84,1,,9.2,8.2,8.4,8.6
17,24Q305,24,Learners And Leaders,Learners and Leaders,Lynn Botfeld,EC,Early Childhood School,58.42,B,47.6,,15,C,18.1,B,10.8,B,3.7,C,.,0.84,1,,8.5,8.1,8.2,8.2
18,25Q130,25,P.S. 130,P.S. 130,Michelle Contratti,EC,Early Childhood School,17.92,A,66.6,,28.9,A,24.8,A,9.5,B,3.4,A,A,0.72,0.88,,8.9,7.7,8.4,8.5
19,25Q242,25,P.S. 242 Leonard P. Stavisky Early Childhood Schoo,P.S. 242 Leonard P. Stavisky Early Childhood Sch,Patricia Costa,EC,Early Childhood School,27.47,B,54.3,,20.1,B,20.4,A,8.2,C,5.6,A,A,0.78,1,,8.8,6.5,7.7,7.7
20,25Q244,25,The Active Learning Elementary School,The Active Learning Elementary School,Robert Groff,EC,Early Childhood School,25.76,A,65.5,,25.6,A,22.8,A,10,B,7.1,.,.,0.75,0.96,,9,7.8,7.9,8.1
21,28Q182,28,P.S. 182 Samantha Smith,P.S. 182 Samantha Smith,Andrew Todd Topol,EC,Early Childhood School,46.18,C,25.4,,7.6,F,7.1,F,6.7,C,4,C,D,0.55,0.66,,7.7,7.5,7.6,7.7
22,28Q303,28,The Academy For Excellence Through The Arts,The Academy for Excellence through the Arts,Barbara Leto,EC,Early Childhood School,13.68,A,68.2,,29,A,22.9,A,14.4,A,1.9,.,.,0.91,1,,9.5,8.7,9.1,9.3
23,29Q251,29,P.S. 251 Queens,P.S. 251 Queens,Edna Loncke,EC,Early Childhood School,49.08,B,39.3,,15,C,14.4,B,7.1,C,2.8,B,C,0.85,0.96,,7.6,7.1,7.3,7.5
24,30Q222,30,P.S. Q222 - Fire Fighter Christopher A. Santora Sc,P.S. Q222 - Fire Fighter Christopher A. Santora,Yvonne Marrero,EC,Early Childhood School,51.07,A,59.5,,24.7,A,19.6,B,9.4,B,5.8,B,A,0.82,1,,8.4,7.6,7.7,7.8
25,30Q228,30,P.S. 228 Early Childhood Magnet School Of The Arts,P.S. 228 Early Childhood Magnet School of the Ar,Olga Guzman,EC,Early Childhood School,63.11,A,59.1,,20.1,B,18.6,B,14.1,A,6.3,A,A,0.77,0.53,,9.4,8.7,8.8,8.8
26,84K379,84,Explore Excel Charter School,Explore Excel Charter School,Ethan Mitnick,EC,Early Childhood School,52.44,,.,,.,,.,,.,,.,.,.,0.73,0.95,,8.1,8.1,7.6,8.1
27,84K711,84,Leadership Preparatory Brownsville Charter School,Leadership Preparatory Brownsville Charter Schoo,Darcy Richie,EC,Early Childhood School,56.88,B,40.1,,12,C,12.7,C,13.8,A,1.6,.,.,0.57,0.96,,9.1,9,8.8,9.2
28,84K712,84,Excellence Girls Charter School,Excellence Girls Charter School,Celestina De La Garza,EC,Early Childhood School,50.08,A,55.8,,18.9,B,22,A,14.4,A,0.5,.,.,0.76,1,,9.3,8.8,8.7,9.1
29,84K734,84,The Ethical Community Charter School (Teccs),The Ethical Community Charter School (TECCS),Ann Mooney,EC,Early Childhood School,53.62,C,23.9,,6.2,F,7.7,F,8.9,B,1.1,.,.,0.59,0.4,,8.1,8,7.9,8.1
30,84K737,84,Brownsville Ascend Charter School,Brownsville Ascend Charter School,Kelly Bowers/Angela Beal,EC,Early Childhood School,52.68,B,46.5,,16.5,C,17.5,B,10.8,B,1.7,.,.,0.83,0.96,,8.3,7.9,7.9,8.2
31,84K746,84,Hebrew Language Academy Charter School,Hebrew Language Academy Charter School,Laura Silver,EC,Early Childhood School,32.27,C,24.8,,7.6,F,12.9,C,2.7,F,1.6,.,.,0.81,0.78,,7.4,6.7,6.9,7
32,84K797,84,New Hope Academy Charter School,New Hope Academy Charter School,Keishea Allen,EC,Early Childhood School,52.66,C,38.8,,13.5,C,14.6,B,9.6,B,1.1,.,.,0.81,0.52,,8.2,7.4,7.7,7.8
33,84M483,84,New York French American Charter School,New York French American Charter School,Stephen V. Peters,EC,Early Childhood School,39.4,C,24.8,,7.8,F,11.4,C,3.5,F,2.1,.,.,0.5,0.62,,7.1,6.4,5.9,6.1
34,84Q321,84,Growing Up Green Charter School,Growing Up Green Charter School,Matthew Greenberg,EC,Early Childhood School,32.89,C,29,,7,F,9.8,C,10.3,B,1.9,.,.,0.44,0.92,,8.8,8.3,8.4,8.5
35,84X461,84,Metropolitan Lighthouse Charter School,Metropolitan Lighthouse Charter School,Courtney Russell,EC,Early Childhood School,55.85,C,35.1,,12.2,C,10.9,C,9,B,3,.,.,0.56,1,,7.6,7.6,7.6,7.8
36,84X487,84,Girls Preparatory Charter School Of The Bronx,Girls Preparatory Charter School of the Bronx,Josie Carbone,EC,Early Childhood School,58.02,C,36.4,,11.4,C,11,C,12.8,A,1.2,.,.,0.81,1,,9.2,8.7,8.7,9.1
37,84X491,84,Academic Leadership Charter School,Academic Leadership Charter School,Norma Hurwitz,EC,Early Childhood School,57.22,A,58.6,,22.9,B,19.3,B,11.5,B,4.8,.,.,0.92,1,,8.8,8.5,8.5,8.9
38,01M015,1,P.S. 015 Roberto Clemente,P.S. 015 Roberto Clemente,Irene Sanchez,EMS,Elementary School,73.38,C,39,14.6,14.7,F,10.6,C,11.3,A,2.4,C,C,0.61,0.92,,8.4,8.2,8.3,8.2
39,01M019,1,P.S. 019 Asher Levy,P.S. 019 Asher Levy,Jacqueline Flanagan,EMS,Elementary School,47.89,B,55.9,55.6,35.4,B,8.9,C,8,B,3.6,B,C,0.92,0.94,,8.4,8,8,8.2
40,01M020,1,P.S. 020 Anna Silver,P.S. 020 Anna Silver,James Lee,EMS,Elementary School,52.38,C,40.2,16.6,19.6,D,7.6,D,10.3,A,2.7,B,A,0.88,0.73,,8.5,7.8,8.2,8.2
41,01M034,1,P.S. 034 Franklin D. Roosevelt,P.S. 034 Franklin D. Roosevelt,Joyce Stallings Harte,EMS,Elementary/Middle School,67.83,A,67.5,82.5,35.4,B,19.3,A,8.4,B,4.4,C,B,0.39,0.58,0.96,7.3,6.9,7.3,7.7
42,01M063,1,P.S. 063 William Mckinley,P.S. 063 William McKinley,Darlene Despeignes,EMS,Elementary School,59.43,B,59.3,62.6,32.7,B,13.3,B,8.5,B,4.8,B,B,0.58,1,,8.5,7.4,7.6,7.8
43,01M064,1,P.S. 064 Robert Simon,P.S. 064 Robert Simon,Marlon L. Hosang,EMS,Elementary School,60.73,C,48.9,37.2,26.4,C,9.2,C,9.2,B,4.1,C,C,0.5,0.94,,8.6,7.9,8.1,8.2
44,01M110,1,P.S. 110 Florence Nightingale,P.S. 110 Florence Nightingale,Karen Feuer,EMS,Elementary School,36.31,D,34.1,7.9,13.2,F,13,B,6.3,C,1.6,C,D,0.83,0.79,,7.6,6.9,7,7.4
45,01M134,1,P.S. 134 Henrietta Szold,P.S. 134 Henrietta Szold,Loretta Caputo,EMS,Elementary School,52.29,C,38,13.1,19.8,D,10.4,C,5.3,C,2.5,C,B,0.49,0.55,,7.7,7,7.5,7.4
46,01M137,1,P.S. 137 John L. Bernstein,P.S. 137 John L. Bernstein,Melissa Rodriguez,EMS,Elementary School,61.67,C,44.3,23.9,30.2,B,6.8,D,2.7,F,4.6,F,C,0.66,0.82,,7.3,6.6,6.7,7.1
47,01M140,1,P.S. 140 Nathan Straus,P.S. 140 Nathan Straus,Esteban Barrientos,EMS,Elementary/Middle School,64.64,C,49.9,37.5,25.7,C,12.5,C,8.1,B,3.6,D,B,0.58,0.94,0.98,7.5,6.7,7,7.3
48,01M142,1,P.S. 142 Amalia Castro,P.S. 142 Amalia Castro,Rhonda Levy,EMS,Elementary School,62.7,B,53.8,50.3,27,C,13,B,9.8,A,3.9,C,B,0.8,0.97,,8.4,7.9,8.1,8.2
49,01M184,1,P.S. 184M Shuang Wen,P.S. 184m Shuang Wen,"Iris Chiu, I.A.",EMS,Elementary/Middle School,19.3,A,69.1,83.1,38.6,A,21.4,A,6.4,C,2.7,A,A,0.64,0.47,0.99,7.7,6.2,6.7,7.2
50,01M188,1,P.S. 188 The Island School,P.S. 188 The Island School,Mary Pree,EMS,Elementary/Middle School,71.58,A,65.4,77.5,31.5,B,17.7,A,11.5,A,4.7,A,C,0.45,0.75,0.97,8.3,8,8.3,8.5
51,01M292,1,Henry Street School For International Studies,Henry Street School for International Studies,Erin Mcmahon,EMS,Middle/High School,1.82,C,39,12.7,23.2,C,7.4,D,5.7,C,2.7,C,C,0.26,0.97,0.79,6.9,6.4,6.8,7
52,01M292,1,Henry Street School For International Studies,Henry Street School for International Studies,Erin Mcmahon,HS,Middle/High School,1.72,C,50.6,15,28.4,C,6.6,F,7.5,C,4.3,C,D,0.26,0.97,0.79,6.9,6.4,6.8,7
53,01M301,1,"Technology, Arts, And Sciences Studio","Technology, Arts, and Sciences Studio",George Morgan,EMS,Middle School,2.04,B,62.3,68.2,32.2,B,17.9,A,8.6,B,3.6,B,C,0.36,0.8,0.83,7.3,7.3,7.4,7.7
54,01M315,1,The East Village Community School,The East Village Community School,Robin Williams,EMS,Elementary School,31.48,B,61.3,67.4,30.5,B,19.3,A,9.4,B,2.1,C,C,0.66,1,,8.6,8.4,8.5,8.6
55,01M332,1,University Neighborhood Middle School,University Neighborhood Middle School,Laura Peynado,EMS,Middle School,1.94,B,52.8,44.8,24.5,C,12,C,13,A,3.3,C,B,0.89,1,0.94,8.2,7.8,8.3,8.6
56,01M345,1,"Collaborative Academy Of Science, Technology, & La","Collaborative Academy of Science, Technology, &",Judith De Los Santos,EMS,Middle School,2.38,C,45.7,24.9,23.4,C,16.1,B,2.9,F,3.3,B,B,0.43,0.67,0.91,6.7,5.6,6.6,6.6
57,01M361,1,The Children'S Workshop School,The Children's Workshop School,Maria Velez Clarke,EMS,Elementary School,32.59,C,38.3,14.1,19.1,D,6.5,D,10.1,A,2.6,B,C,0.32,0.48,,8.8,8.1,8.6,8.4
58,01M363,1,Neighborhood School,Neighborhood School,Milo Novelo,EMS,Elementary School,31.97,D,34.9,9.2,10.8,F,12.4,B,8.5,B,3.1,C,C,0.7,0.75,,8.5,7.8,8.4,8.1
59,01M364,1,Earth School,Earth School,Alison Gail Hazut,EMS,Elementary School,31.56,C,48,35.6,19.5,D,12.7,B,11.7,A,4.1,C,D,0.51,0.72,,9,8.5,8.9,8.7
60,01M378,1,School For Global Leaders,School for Global Leaders,Carry Chan,EMS,Middle School,2.33,B,64.3,72.1,32.1,B,19.8,A,8.4,B,4,B,B,0.83,1,0.99,7.6,6.7,7,7.8
61,01M450,1,East Side Community School,East Side Community School,Mark Federman,EMS,Middle/High School,2.17,A,74.4,87.9,35.9,B,22,A,11.8,A,4.7,A,A,0.29,0.85,0.82,8,7.6,7.9,8.2
62,01M450,1,East Side Community School,East Side Community School,Mark Federman,HS,Middle/High School,2.38,A,73.6,75.2,33,B,14.4,A,10.9,A,8,A,A,0.29,0.85,0.82,8,7.6,7.9,8.2
63,01M539,1,"New Explorations Into Science, Technology And Math","New Explorations into Science, Technology and Ma",Dr. Olga Livanis,EMS,Elementary/Middle/High School,10.44,A,70.3,84.4,38.5,A,23.9,A,6.2,C,1.6,A,A,0.6,0.88,0.84,7.8,6.4,6.9,7.5
64,01M539,1,"New Explorations Into Science, Technology And Math","New Explorations into Science, Technology and Math High School",Dr. Olga Livanis,HS,Elementary/Middle/High School,3.52,A,82,92.7,46.6,A,18.8,A,7.5,C,0.1,A,B,0.6,0.88,0.84,7.8,6.4,6.9,7.5
65,01M839,1,Tompkins Square Middle School,Tompkins Square Middle School,Sonhando Estwick,EMS,Middle School,2.67,A,79.3,92.3,41.2,A,23.2,A,11,A,3.9,B,A,0.51,0.69,0.96,8.1,7.2,7.5,7.8
66,02M001,2,P.S. 001 Alfred E. Smith,P.S. 001 Alfred E. Smith,Amy Hom,EMS,Elementary School,37.87,C,48.3,36.2,26.1,C,13.2,B,6.5,C,2.5,B,B,0.72,0.85,,8,6.3,7.1,7.3
67,02M002,2,P.S. 002 Meyer London,P.S. 002 Meyer London,Brett Gustafson,EMS,Elementary School,46.15,A,72,88.9,40.8,A,18.5,A,8.7,B,4,A,A,0.82,0.78,,8.1,7.2,7.3,7.6
68,02M003,2,P.S. 003 Charrette School,P.S. 003 Charrette School,Lisa Siegman,EMS,Elementary School,17.08,C,48.1,35.7,21.3,D,14.7,B,8.8,B,3.2,C,B,0.58,0.77,,8.7,8.5,8.8,8.8
69,02M006,2,P.S. 006 Lillie D. Blake,P.S. 006 Lillie D. Blake,Lauren Fontana,EMS,Elementary School,10.33,B,58.8,61.6,29.3,C,18.9,A,7.2,C,3.4,A,B,0.53,0.78,,8.3,7.5,8.1,8.3
70,02M011,2,P.S. 011 William T. Harris,P.S. 011 William T. Harris,Robert Bender,EMS,Elementary School,27.15,B,61.1,66.7,29.5,C,18.8,A,9.8,A,3,A,A,0.59,0.79,,8.7,8.2,8.5,8.8
71,02M033,2,P.S. 033 Chelsea Prep,P.S. 033 Chelsea Prep,Linore Lindy,EMS,Elementary School,37.56,A,68.3,83.3,36.2,B,17.2,A,12,A,2.9,B,A,0.95,0.88,,8.9,8.5,8.6,8.8
72,02M040,2,P.S. 040 Augustus Saint-Gaudens,P.S. 040 Augustus Saint-Gaudens,Susan Felder,EMS,Elementary School,15.27,B,64.3,74.4,33.4,B,18.1,A,9.3,B,3.5,A,A,0.42,0.51,,8.7,8.2,8.2,8.3
73,02M041,2,P.S. 041 Greenwich Village,P.S. 041 Greenwich Village,Kelly Shannon,EMS,Elementary School,10.81,B,52.9,47.9,22.1,C,16.4,A,11.2,A,3.2,A,B,0.79,0.98,,8.9,8.4,8.6,8.7
74,02M042,2,P.S. 042 Benjamin Altman,P.S. 042 Benjamin Altman,Rosa Casiello O'day,EMS,Elementary School,28.66,A,86.2,98,51.2,A,20.2,A,10.2,A,4.6,A,A,0.9,0.69,,8.8,7.7,8,8
75,02M051,2,P.S. 051 Elias Howe,P.S. 051 Elias Howe,Nancy Sing Bock,EMS,Elementary School,49.67,C,43,22,16,D,13.8,B,10.2,A,3,B,B,0.93,1,,8.8,8.3,8.5,8.7
76,02M059,2,P.S. 059 Beekman Hill International,P.S. 059 Beekman Hill International,Adele Schroeter,EMS,Elementary School,14.61,B,52.2,44.9,21.4,D,17.2,A,11.4,A,2.2,A,B,0.63,0.53,,9.1,8.1,8.8,8.9
77,02M077,2,P.S. 77 Lower Lab School,P.S. 77 Lower Lab School,Mara Ratesic Koetke,EMS,Elementary School,9.27,B,60.1,64.4,28.3,C,21,A,8.8,B,2,A,A,0.95,0.89,,8.4,7.9,7.8,8.5
78,02M089,2,P.S. 89,P.S. 89,Veronica Najjar,EMS,Elementary School,10.99,B,53.2,48.7,25.8,C,17.3,A,7.5,B,2.6,B,B,0.61,0.82,,8.7,7.5,8.1,8.2
79,02M104,2,J.H.S. 104 Simon Baruch,J.H.S. 104 Simon Baruch,Rosemarie Gaetani,EMS,Middle School,3.06,B,60.6,62.2,30.8,C,18.1,A,8.4,B,3.3,B,B,0.77,0.98,0.97,7.5,6.7,7.2,7.6
80,02M111,2,P.S. 111 Adolph S. Ochs,P.S. 111 Adolph S. Ochs,Irma Medina,EMS,Elementary/Middle School,53.79,C,43.7,23.8,24.3,C,10.3,C,4.9,D,4.2,C,B,0.17,0.39,0.77,6.8,6.4,6.7,6.8
81,02M114,2,East Side Middle School,East Side Middle School,David Getz,EMS,Middle School,3.54,A,79.3,92,40.5,A,22.6,A,12.8,A,3.4,A,A,0.73,1,0.99,8.9,7.7,8.4,8.7
82,02M116,2,P.S. 116 Mary Lindley Murray,P.S. 116 Mary Lindley Murray,Jane Hsu,EMS,Elementary School,21.19,C,47.2,33.1,18,D,18.4,A,8.9,B,1.9,C,B,0.46,0.51,,8.6,7.8,8.2,8.4
83,02M124,2,P.S. 124 Yung Wing,P.S. 124 Yung Wing,Alice Hom,EMS,Elementary School,21.55,B,54.6,52.3,26.7,C,19,A,6.8,C,2.1,A,A,1,0.81,,8.1,7,7.2,7.3
84,02M126,2,P.S. 126 Jacob August Riis,P.S. 126 Jacob August Riis,Jacqueline Getz,EMS,Elementary/Middle School,35,A,71.1,85.6,36.8,B,21.2,A,8.6,B,4.5,A,A,0.4,0.66,0.88,7.6,7.1,7.5,7.7
85,02M130,2,P.S. 130 Hernando De Soto,P.S. 130 Hernando De Soto,Lily Woo,EMS,Elementary School,23.15,A,72.3,89.5,37.8,B,19.7,A,11.9,A,2.9,A,A,0.89,1,,9.1,8,8.5,8.5
86,02M131,2,M.S. 131,M.S. 131,Phyllis Tam,EMS,Middle School,2.72,A,68.4,79,42.4,A,13.3,B,8.4,B,4.3,A,B,0.65,0.88,0.96,7.6,6.4,6.9,7.2
87,02M150,2,P.S. 150,P.S. 150,Maggie Siena,EMS,Elementary School,14.16,C,42.6,20.8,16,D,17.2,A,7.2,C,2.1,C,B,0.56,0.64,,8.6,7.4,7.9,7.9
88,02M158,2,P.S. 158 Bayard Taylor,P.S. 158 Bayard Taylor,Darryl Alhadeff,EMS,Elementary School,15.08,B,59.1,62.1,29.5,C,19.4,A,6.2,C,3.9,B,A,0.45,0.68,,8.2,7.3,7.9,8.1
89,02M167,2,J.H.S. 167 Robert F. Wagner,J.H.S. 167 Robert F. Wagner,Jennifer Rehn,EMS,Middle School,3.08,B,63.2,69.6,32.9,B,19.2,A,7.9,B,3.2,A,B,0.65,0.64,0.95,7.5,6.8,7,7.5
90,02M183,2,P.S. 183 Robert L. Stevenson,P.S. 183 Robert L. Stevenson,Jennifer Leventhal,EMS,Elementary School,13.75,B,60.2,64.6,32.7,B,17.3,A,6.8,C,3.4,B,B,0.45,0.6,,8.4,7.4,8,7.7
91,02M198,2,P.S. 198 Isador E. Ida Straus,P.S. 198 Isador E. Ida Straus,Sharon Jeffrey Roebuck,EMS,Elementary School,41.13,D,27.3,3.3,13.4,F,9.6,C,2,F,2.3,C,B,0.92,0.4,,7.1,6.2,6.6,6.8
92,02M212,2,P.S. 212 Midtown West,P.S. 212 Midtown West,Dean Ketchum,EMS,Elementary School,20.06,B,54.1,51.5,20.1,D,20.5,A,11.3,A,2.1,B,A,0.98,0.91,,9,8.5,8.9,8.8
93,02M217,2,P.S./I.S. 217 Roosevelt Island,P.S./I.S. 217 Roosevelt Island,Mandana Beckman,EMS,Elementary/Middle School,28.31,D,33.2,6.9,15.1,F,9.3,D,5.8,C,3,D,B,0.46,0.83,0.94,7.8,6.8,7.1,7.5
94,02M225,2,Ella Baker School,Ella Baker School,Laura Garcia,EMS,Elementary/Middle School,40.22,C,47.7,33.8,22.4,D,16.1,A,7.1,C,2.1,C,B,0.34,0.9,0.96,8.3,7.5,7.9,8
95,02M234,2,P.S. 234 Independence School,P.S. 234 Independence School,Lisa Ripperger,EMS,Elementary School,9.23,C,29.9,4.4,8.9,F,12,C,7.2,C,1.8,A,B,0.69,0.85,,8.7,7.2,8,8
96,02M255,2,M.S. 255 Salk School Of Science,M.S. 255 Salk School of Science,Rhonda Perry,EMS,Middle School,3.56,A,73.2,85.9,37.2,B,21.2,A,12.2,A,2.5,A,B,0.58,0.84,0.98,8.7,8.1,8.5,9
97,02M260,2,M.S. 260 Clinton School Writers & Artists,M.S. 260 Clinton School Writers & Artists,Jonathan Levin,EMS,Middle School,2.91,A,68.2,78.2,33.3,B,22.4,A,9,B,3.5,B,A,0.5,0.88,0.9,8.1,6.7,7.1,7.7
98,02M276,2,Battery Park City School,BATTERY PARK CITY SCHOOL,Theresa Ruyter,EMS,Elementary/Middle School,13.23,C,46.9,31.9,18.6,D,15,B,9,B,4.3,A,.,0.65,0.88,0.94,8.4,7.7,8,8.3
99,02M289,2,I.S. 289,I.S. 289,Ellen Foote,EMS,Middle School,3.2,C,50.3,36.5,18.9,D,18.9,A,9.6,B,2.9,B,B,0.45,0.84,0.95,8.2,6.9,7.3,7.6
100,02M290,2,P.S. 290 Manhattan New School,P.S. 290 Manhattan New School,Sharon Hill,EMS,Elementary School,10.06,A,68.6,84.4,35.3,B,18,A,12.5,A,2.7,A,A,0.68,0.93,,9.1,8.6,8.8,9
101,02M312,2,New York City Lab Middle School For Collaborative,New York City Lab Middle School for Collaborativ,Megan Adams,EMS,Middle School,3.61,A,70.2,82.6,33.6,B,21.9,A,11.6,A,3.1,A,A,0.6,0.97,0.99,8.4,7.4,7.8,8.2
102,02M347,2,The 47 American Sign Language & English Lower Scho,The 47 American Sign Language & English Lower Sc,David Bowell,EMS,Elementary/Middle School,68.03,C,42.4,20,17.4,F,14.4,B,7.9,B,2.6,A,B,0.32,0.78,0.95,7.4,7,7,7.6
103,02M407,2,Institute For Collaborative Education,Institute for Collaborative Education,John Pettinato,EMS,Middle/High School,3.51,C,31.4,7.7,6,F,14.8,B,9.5,B,1.1,B,C,0.3,0.96,0.88,8.1,8.1,8.2,8.5
104,02M407,2,Institute For Collaborative Education,Institute for Collaborative Education,John Pettinato,HS,Middle/High School,2.58,A,73.5,74.9,43.4,A,10.5,C,12.9,A,2.9,A,B,0.3,0.96,0.88,8.1,8.1,8.2,8.5
105,02M408,2,Professional Performing Arts High School,Professional Performing Arts High School,Keith Ryan,EMS,Middle/High School,3.74,B,58.6,58.6,30.4,C,21.4,A,5.8,C,1,B,A,0.45,1,0.81,7.8,6.9,7.3,7.6
106,02M408,2,Professional Performing Arts High School,Professional Performing Arts High School,Keith Ryan,HS,Middle/High School,3.16,B,65.6,51.3,33.9,B,16.1,A,8.5,C,1.1,B,A,0.45,1,0.81,7.8,6.9,7.3,7.6
107,02M413,2,School Of The Future High School,School of the Future High School,Stacy Paige Goldstein,EMS,Middle/High School,3.14,C,46.9,27.9,14.5,D,20.7,A,9.8,A,1.9,A,B,0.46,0.92,0.92,8,7,7.4,7.8
108,02M413,2,School Of The Future High School,School of the Future High School,Stacy Paige Goldstein,HS,Middle/High School,2.8,A,71,69.3,38.7,A,13.5,B,10.4,B,2.4,B,A,0.46,0.92,0.92,8,7,7.4,7.8
109,02M422,2,Quest To Learn,Quest to Learn,Elisa Aragon,EMS,Middle School,2.72,B,58,56.9,27.6,C,17.8,A,8.5,B,4.1,B,.,0.41,0.95,0.93,7.5,7.2,7.5,7.6
110,02M442,2,"Ballet Tech, Nyc Public School For Dance","Ballet Tech, NYC Public School for Dance",Roy Oneill,EMS,Elementary/Middle School,30.27,B,61.2,68.8,25,C,22.6,A,12.6,A,1,B,C,0.84,0.75,0.97,8.7,7.9,8,8.6
111,02M655,2,Life Sciences Secondary School,Life Sciences Secondary School,Genevieve Stanislaus,EMS,Middle/High School,2.18,B,52.3,42.8,26.7,C,15.4,B,6,C,4.2,C,C,0.09,0.69,0.59,7,6.7,7,7.5
112,02M655,2,Life Sciences Secondary School,Life Sciences Secondary School,Genevieve Stanislaus,HS,Middle/High School,2.11,B,60.1,37.8,28.9,C,13.7,B,8.6,C,3.8,B,A,0.09,0.69,0.59,7,6.7,7,7.5
113,02M896,2,Lower Manhattan Community Middle School,Lower Manhattan Community Middle School,Kelly Mcguire,EMS,Middle School,2.52,B,61.1,64.4,25.6,C,20.7,A,10.6,A,4.2,B,C,0.55,0.81,0.93,8.1,7.1,7.7,7.9
114,03M009,3,P.S. 009 Sarah Anderson,P.S. 009 Sarah Anderson,Diane Brady,EMS,Elementary School,19.16,B,64.1,73.6,27.9,C,22.5,A,12.2,A,1.5,A,B,0.86,0.97,,9.2,8.6,8.8,9.1
